# Table EV1 from 									
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5327727/#msb167233-sup-0002									
ORF	Symbol	Etymology	SGDID	Note	Description	Chr	StartBp	EndBP	Chain
YOL027C	MDM38		S000005387	Respiration	Membrane-associated mitochondrial ribosome receptor; forms a complex with Mba1p to facilitate recruitment of mRNA-specific translational activators to ribosomes; ribosome-associated protein involved in the insertion of newly synthesized proteins into the mitochondrial inner membrane; role in protein export and K+/H+ exchange; localizes to the inner mitochondrial membrane; human ortholog Letm1 implicated in Wolf-Hirschhorn syndrome	XV	272003	273724	-
YLR069C	MEF1	Mitochondrial Elongation Factor	S000004059	Respiration	Mitochondrial elongation factor involved in translational elongation	XII	271630	273915	-
YJL102W	MEF2	Mitochondrial Elongation Factor	S000003638	Respiration	Mitochondrial elongation factor involved in translational elongation	X	231301	233760	+
YIL128W	MET18	METhionine requiring	S000001390	Respiration	"Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at a late step of Fe-S cluster assembly; forms the CIA targeting complex with Cia1p and Cia2p that directs Fe-S cluster incorporation and maturation of a subset of cytosolic and nuclear proteins involved in methionine biosynthesis, DNA replication and repair, transcription, and telomere maintenance; ortholog of human MMS19"	IX	113806	116904	+
YOR241W	MET7		S000005767	Respiration	"Folylpolyglutamate synthetase; catalyzes extension of the glutamate chains of the folate coenzymes, required for methionine synthesis and for maintenance of mitochondrial DNA; protein abundance increases in response to DNA replication stress"	XV	786995	788641	+
YPL060W	MFM1	Mrs2 Function Modulating factor	S000005981	Respiration	Mitochondrial inner membrane magnesium transporter; involved in maintenance of mitochondrial magnesium concentrations and membrane potential; indirectly affects splicing of group II introns; functionally and structurally related to Mrs2p	XVI	434523	435764	+
YOR211C	MGM1		S000005737	Respiration	"Mitochondrial GTPase, present in complex with Ugo1p and Fzo1p; required for mitochondrial morphology, fusion, and genome maintenance; promotes membrane bending; exists as long and short form with different distributions; ratio of long to short forms is regulated by Psd1p; homolog of human OPA1 involved in autosomal dominant optic atrophy"	XV	738924	741569	-
YJR144W	MGM101	Mitochondrial Genome Maintenance	S000003905	Respiration	"Protein with a role in mitochondrial DNA recombinational repair; also involved in interstrand cross-link repair; binds to and catalyzes the annealing of single-stranded mtDNA; oligomerizes to form rings and filaments; related to Rad52-type recombination proteins, with limited overall similarity but sharing conserved functionally important residues; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage and mitochondrial genome maintenance"	X	700882	701691	+
YPL098C	MGR2	Mitochondrial Genome Required	S000006019	Respiration	Subunit of the TIM23 translocase complex; acts to couple Tim21p with the core Tim23 translocase; provides quality control for insertion of membrane proteins by regulating their release into the inner membrane by the TIM23 complex; absolutely required for mitochondrial import of presequence-containing proteins at elevated temperature; required for viability of cells lacking the mitochondrial genome (petite-negative phenotype)	XVI	364386	364727	-
YDR296W	MHR1		S000002704	Respiration	Mitochondrial ribosomal protein of the large subunit; also involved in homologous recombination in mitochondria; required for recombination-dependent mtDNA partitioning; involved in stimulation of mitochondrial DNA replication in response to oxidative stress	IV	1055212	1055892	+
YKR016W	MIC60		S000001724	Respiration	"Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; Mic60p is also involved in import of intermembrane space (IMS) proteins, probably by positioning Mia40p relative to the TOM complex to receive incoming proteins; ortholog of mammalian mitofilin"	XI	469717	471339	+
YER028C	MIG3	Multicopy Inhibitor of Growth	S000000830	Respiration	"Transcriptional regulator; partially nonfunctional in S288C strains but has a major role in catabolite repression and ethanol response in some other strains; involved in response to toxic agents; phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p, allowing induction of damage response genes"	V	210692	211876	-
YOR330C	MIP1		S000005857	Respiration	"Mitochondrial DNA polymerase gamma; single subunit of mitochondrial DNA polymerase in yeast, in contrast to metazoan complex of catalytic and accessory subunits; polymorphic in yeast, petites occur more frequently in some lab strains; human ortholog POLG complements yeast mip1 mutant; mutations in human POLG associated with Alpers-Huttenlocher syndrome (AHS), progressive external ophthalmoplegia (PEO), parkinsonism, other mitochondrial diseases"	XV	939621	943385	-
YJR077C	MIR1	Mitochondrial Import Receptor	S000003838	Respiration	Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated	X	577255	578190	-
YBR084W	MIS1		S000000288	Respiration	"Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"	II	411054	413981	+
YMR167W	MLH1		S000004777	Respiration	Protein required for mismatch repair in mitosis and meiosis; also required for crossing over during meiosis; forms a complex with Pms1p and Msh2p-Msh3p during mismatch repair; human homolog is associated with hereditary non-polyposis colon cancer	XIII	594886	597195	+
YNL117W	MLS1		S000005061	Respiration	"Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA"	XIV	406358	408022	+
YLL006W	MMM1	Maintenance of Mitochondrial Morphology	S000003929	Respiration	"ER integral membrane protein, ERMES complex subunit; ERMES links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase"	XII	136586	137866	+
YOR350C	MNE1		S000005877	Respiration	Protein involved in splicing Group I aI5-beta intron from COX1 mRNA; mitochondrial matrix protein	XV	992864	994855	-
YDR245W	MNN10		S000002653	Respiration	"Subunit of a Golgi mannosyltransferase complex; complex mediates elongation of the polysaccharide mannan backbone; membrane protein of the mannosyltransferase family; other members of the complex are Anp1p, Mnn9p, Mnn11p, and Hoc1p"	IV	952800	953981	+
YJR074W	MOG1	Multicopy suppressor Of ts Gsp1	S000003835	Respiration	Conserved nuclear protein that interacts with GTP-Gsp1p; stimulates nucleotide release from Gsp1p; involved in nuclear protein import; nucleotide release is inhibited by Yrb1p	X	573095	573751	+
YNL297C	MON2	MONensin sensitivity	S000005241	Respiration	Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins	XIV	71673	76583	-
YER068W	MOT2	Modulator Of Transcription	S000000870	Respiration	"Ubiquitin-protein ligase subunit of the CCR4-NOT complex; with Ubc4p, ubiquitinates nascent polypeptide-associated complex subunits and histone demethyase Jhd2p; CCR4-NOT has roles in transcription regulation, mRNA degradation, and post-transcriptional modifications; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication"	V	293050	294813	+
YGL143C	MRF1		S000003111	Respiration	Mitochondrial translation release factor; involved in stop codon recognition and hydrolysis of the peptidyl-tRNA bond during mitochondrial translation; lack of MRF1 causes mitochondrial genome instability	VII	234717	235958	-
YGL064C	MRH4		S000003032	Respiration	"Mitochondrial ATP-dependent RNA helicase of the DEAD-box family; required for assembly of the large subunit of mitochondrial ribosomes; binds to the large subunit rRNA, 21S_rRNA; localizes to the matrix face of the mitochondrial inner membrane and associates with the large subunit precursor and with mature ribosomes"	VII	381523	383208	-
YDR347W	MRP1	Mitochondrial Ribosomal Protein	S000002755	Respiration	"Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator, and with PET123, encoding a small subunit mitochondrial ribosomal protein"	IV	1169178	1170143	+
YGR084C	MRP13	Mitochondrial Ribosomal Protein	S000003316	Respiration	Mitochondrial ribosomal protein of the small subunit	VII	647123	648142	-
YKL003C	MRP17	Mitochondrial Ribosomal Protein	S000001486	Respiration	"Mitochondrial ribosomal protein of the small subunit; MRP17 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator"	XI	437097	437492	-
YPR166C	MRP2	Mitochondrial Ribosomal Protein	S000006370	Respiration	Mitochondrial ribosomal protein of the small subunit	XVI	876282	876629	-
YDR405W	MRP20	Mitochondrial Ribosomal Protein	S000002813	Respiration	Mitochondrial ribosomal protein of the large subunit	IV	1277646	1278437	+
YBL090W	MRP21	Mitochondrial Ribosomal Protein	S000000186	Respiration	Mitochondrial ribosomal protein of the small subunit; MRP21 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences	II	48825	49358	+
YHL004W	MRP4		S000000996	Respiration	Mitochondrial ribosomal protein of the small subunit	VIII	99219	100403	+
YKL167C	MRP49		S000001650	Respiration	Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation	XI	133721	134134	-
YPL118W	MRP51	Mitochondrial Ribosomal Protein	S000006039	Respiration	Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences	XVI	326628	327662	+
YNL005C	MRP7	Mitochondrial Ribosomal Protein	S000004950	Respiration	Mitochondrial ribosomal protein of the large subunit	XIV	621313	622428	-
YDR116C	MRPL1		S000002523	Respiration	Mitochondrial ribosomal protein of the large subunit	IV	682724	683581	-
YNL284C	MRPL10		S000005228	Respiration	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL10 and YmL18) on two-dimensional SDS gels	XIV	103134	104102	-
YDL202W	MRPL11	"Mitochondrial Ribosomal Protein, Large subunit"	S000002361	Respiration	Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2	IV	98475	99224	+
YLR312W-A	MRPL15	"Mitochondrial Ribosomal Protein, Large subunit"	S000004304	Respiration	Mitochondrial ribosomal protein of the large subunit	XII	759480	760241	+
YBL038W	MRPL16	"Mitochondrial Ribosomal Protein, Large subunit"	S000000134	Respiration	Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation	II	146187	146885	+
YNL252C	MRPL17	"Mitochondrial Ribosomal Protein, Large subunit"	S000005196	Respiration	Mitochondrial ribosomal protein of the large subunit	XIV	171441	172286	-
YKR085C	MRPL20		S000001793	Respiration	Mitochondrial ribosomal protein of the large subunit	XI	599094	599681	-
YNL177C	MRPL22	"Mitochondrial Ribosomal Protein, Large subunit"	S000005121	Respiration	Mitochondrial ribosomal protein of the large subunit	XIV	303686	304615	-
YOR150W	MRPL23	"Mitochondrial Ribosomal Protein, Large subunit"	S000005676	Respiration	Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2	XV	611999	612490	+
YMR193W	MRPL24	"Mitochondrial Ribosomal Protein, Large subunit"	S000004806	Respiration	"Mitochondrial ribosomal protein of the large subunit; two mitochondrial ribosomal proteins, YmL14 and YmL24, have been assigned to the same gene"	XIII	650036	650812	+
YGR076C	MRPL25		S000003308	Respiration	Mitochondrial ribosomal protein of the large subunit; mutation confers increased replicative lifespan	VII	637104	637577	-
YBR282W	MRPL27	"Mitochondrial Ribosomal Protein, Large subunit"	S000000486	Respiration	Mitochondrial ribosomal protein of the large subunit; homolog of human Bcl-2 interacting protein BMRP	II	768240	768680	+
YDR462W	MRPL28		S000002870	Respiration	Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress	IV	1386073	1386516	+
YKL138C	MRPL31	"Mitochondrial Ribosomal Protein, Large subunit"	S000001621	Respiration	Mitochondrial ribosomal protein of the large subunit	XI	185286	185681	-
YCR003W	MRPL32	"Mitochondrial Ribosomal Protein, Large subunit"	S000000596	Respiration	Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress	III	118620	119171	+
YMR286W	MRPL33		S000004899	Respiration	Mitochondrial ribosomal protein of the large subunit	XIII	841942	842202	+
YDR322W	MRPL35	"Mitochondrial Ribosomal Protein, Large subunit"	S000002730	Respiration	Mitochondrial ribosomal protein of the large subunit	IV	1110589	1111692	+
YBR268W	MRPL37	"Mitochondrial Ribosomal Protein, Large subunit"	S000000472	Respiration	Mitochondrial ribosomal protein of the large subunit	II	741299	741616	+
YKL170W	MRPL38	"Mitochondrial Ribosomal Protein, Large subunit"	S000001653	Respiration	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress	XI	130634	131050	+
YML009C	MRPL39	"Mitochondrial Ribosomal Protein, Large subunit"	S000004468	Respiration	Mitochondrial ribosomal protein of the large subunit	XIII	251304	251516	-
YLR439W	MRPL4		S000004431	Respiration	Mitochondrial ribosomal protein of the large subunit; homolog of prokaryotic L29 ribosomal protein; located at the ribosomal tunnel exit	XII	1014491	1015450	+
YPL173W	MRPL40	"Mitochondrial Ribosomal Protein, Large subunit"	S000006094	Respiration	Mitochondrial ribosomal protein of the large subunit	XVI	223143	224036	+
YJL096W	MRPL49		S000003632	Respiration	Mitochondrial ribosomal protein of the large subunit	X	246490	246975	+
YPR100W	MRPL51	"Mitochondrial Ribosomal Protein, Large subunit"	S000006304	Respiration	Mitochondrial ribosomal protein of the large subunit	XVI	729791	730213	+
YHR147C	MRPL6	"Mitochondrial Ribosomal Protein, Large subunit"	S000001190	Respiration	Mitochondrial ribosomal protein of the large subunit	VIII	392639	393283	-
YDR237W	MRPL7	"Mitochondrial Ribosomal Protein, Large subunit"	S000002645	Respiration	"Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7, which are two different modified forms of the same protein"	IV	936615	937493	+
YJL063C	MRPL8	"Mitochondrial Ribosomal Protein, Large subunit"	S000003599	Respiration	Mitochondrial ribosomal protein of the large subunit	X	315759	316475	-
YGR220C	MRPL9	"Mitochondrial Ribosomal Protein, Large subunit"	S000003452	Respiration	Mitochondrial ribosomal protein of the large subunit	VII	936074	936883	-
YNR036C	MRPS12	"Mitochondrial Ribosomal Protein, Small subunit"	S000005319	Respiration	Mitochondrial protein; may interact with ribosomes based on co-purification experiments; similar to E. coli and human mitochondrial S12 ribosomal proteins	XIV	694361	694822	-
YPL013C	MRPS16	"Mitochondrial Ribosomal Protein, Small subunit"	S000005934	Respiration	Mitochondrial ribosomal protein of the small subunit	XVI	528985	529350	-
YMR188C	MRPS17	"Mitochondrial Ribosomal Protein, Small subunit"	S000004800	Respiration	Mitochondrial ribosomal protein of the small subunit	XIII	636291	637004	-
YDR337W	MRPS28	"Mitochondrial Ribosomal Protein, Small subunit"	S000002745	Respiration	Mitochondrial ribosomal protein of the small subunit	IV	1146319	1147179	+
YGR165W	MRPS35		S000003397	Respiration	"Mitochondrial ribosomal protein of the small subunit; null mutant does not grow on glycerol, is sensitive to 2,4-dichlorophenol, and accumulates large lipid droplets"	VII	829116	830153	+
YBR251W	MRPS5		S000000455	Respiration	Mitochondrial ribosomal protein of the small subunit	II	721390	722313	+
YMR158W	MRPS8		S000004767	Respiration	Mitochondrial ribosomal protein of the small subunit	XIII	572248	572715	+
YIR021W	MRS1	Mitochondrial RNA Splicing	S000001460	Respiration	"Splicing protein; required for splicing of two mitochondrial group I introns (BI3 in COB and AI5beta in COX1); forms a splicing complex, containing four subunits of Mrs1p and two subunits of the BI3-encoded maturase, that binds to the BI3 RNA; MRS1 has a paralog, CCE1, that arose from the whole genome duplication"	IX	397294	398385	+
YOR334W	MRS2		S000005861	Respiration	Mitochondrial inner membrane Mg(2+) channel; required for maintenance of intramitochondrial Mg(2+) concentrations at the correct level to support splicing of group II introns; similar to bacterial CorA	XV	944596	946008	+
YER077C	MRX1		S000000879	Respiration	Protein that associates with mitochondrial ribosome; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation results in a decrease in plasma membrane electron transport	V	314534	316600	-
YDR115W	MRX14	Mitochondrial oRganization of gene eXpression (MIOREX)	S000002522	Respiration	Putative mitochondrial ribosomal protein of the large subunit; required for respiratory growth and for efficient translation of mitochondrial COX1 and COX3; conditional mutant has reduced cytochrome c oxidase activity; protein increases in abundance and relocalizes to the plasma membrane upon DNA replication stress; contains and N-terminal mitochondrial targeting sequence; similar to E. coli L34 ribosomal protein	IV	682175	682492	+
YDR336W	MRX8		S000002744	Respiration	Protein that associates with mitochondrial ribosome; sumoylated under stress conditions in a genome wide study; YDR336W is not an essential gene	IV	1145092	1146036	+
YOR354C	MSC6		S000005881	Respiration	Multicopy suppressor of HER2 involved in mitochondrial translation; mutant is defective in directing meiotic recombination events to homologous chromatids	XV	1001147	1003225	-
YPL104W	MSD1	"Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)"	S000006025	Respiration	"Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"	XVI	355700	357676	+
YOL033W	MSE1	"Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E)"	S000005393	Respiration	Mitochondrial glutamyl-tRNA synthetase; predicted to be palmitoylated	XV	263475	265085	+
YPR047W	MSF1		S000006251	Respiration	"Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase"	XVI	657529	658938	+
YLR168C	UPS2	UnProceSsed	S000004158	Respiration	"Mitochondrial intermembrane space protein; involved in phospholipid metabolism; forms complex with Mdm35p that transfers phosphatidylserine from outer membrane to inner membrane for phosphatidylethanolamine synthesis; null mutant has defects in mitochondrial morphology; similar to Ups1p, Ups3p and to human PRELI; UPS2 has a paralog, UPS3, that arose from the whole genome duplication"	XII	499578	500270	-
YHR120W	MSH1	MutS Homolog	S000001162	Respiration	DNA-binding protein of the mitochondria; involved in repair of mitochondrial DNA; has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis	VIII	349574	352453	+
YNL073W	MSK1	"Mitochondrial aminoacyl-tRNA Synthetase, lysine (K)"	S000005017	Respiration	Mitochondrial lysine-tRNA synthetase; required for import of both aminoacylated and deacylated forms of tRNA(Lys) into mitochondria and for aminoacylation of mitochondrially encoded tRNA(Lys)	XIV	488386	490116	+
YIR009W	MSL1	MUD Synthetic Lethal	S000001448	Respiration	"U2B component of U2 snRNP; involved in splicing, binds the U2 snRNA stem-loop IV in vitro but requires association of Lea1p for in vivo binding; does not contain the conserved C-terminal RNA binding domain found in other family members"	IX	374525	374860	+
YGR171C	MSM1		S000003403	Respiration	Mitochondrial methionyl-tRNA synthetase (MetRS); functions as a monomer in mitochondrial protein synthesis; functions similarly to cytoplasmic MetRS although the cytoplasmic form contains a zinc-binding domain not found in Msm1p	VII	840824	842551	-
YDR335W	MSN5	Multicopy suppressor of SNf1 mutation	S000002743	Respiration	"Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog"	IV	1141168	1144842	+
YHR091C	MSR1	Mitochondrial tRNA Synthetase aRginine	S000001133	Respiration	"Mitochondrial arginyl-tRNA synthetase; mutations in human ortholog are associated with pontocerebellar hypoplasia type 6; MSR1 has a paralog, YDR341C, that arose from the whole genome duplication"	VIII	284839	286770	-
YDR194C	MSS116		S000002602	Respiration	Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate	IV	845952	847946	-
YPR134W	MSS18		S000006338	Respiration	Nuclear encoded protein needed for splicing of mitochondrial intron; required for efficient splicing of mitochondrial COX1 aI5beta intron; mss18 mutations block cleavage of 5' exon - intron junction; phenotype of intronless strain suggests additional functions	XVI	798051	798857	+
YDL107W	MSS2		S000002265	Respiration	"Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p"	IV	268921	269976	+
YLR203C	MSS51	Mitochondrial Splicing Suppressor	S000004193	Respiration	"Specific translational activator for the mitochondrial COX1 mRNA; loosely associated with the matrix face of the mitochondrial inner membrane; localizes to vacuole membrane in response to H2O2; influences both COX1 mRNA translation and Cox1p assembly into cytochrome c oxidase; binds to heme B, which may be a mechanism for sensing oxygen levels in order to regulate cytochrome c oxidase biogenesis"	XII	550650	551960	-
YKL194C	MST1		S000001677	Respiration	"Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr"	XI	77258	78646	-
YMR287C	MSU1	Deletion of SUV3 Supressor	S000004900	Respiration	3'-5' exoribonuclease; component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs	XIII	842436	845345	-
YDR268W	MSW1	"Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)"	S000002676	Respiration	Mitochondrial tryptophanyl-tRNA synthetase	IV	1004004	1005143	+
YPL097W	MSY1		S000006018	Respiration	Mitochondrial tyrosyl-tRNA synthetase	XVI	364952	366430	+
YMR228W	MTF1	Mitochondrial Transcription Factor	S000004841	Respiration	"Mitochondrial RNA polymerase specificity factor; has structural similarity to S-adenosylmethionine-dependent methyltransferases and functional similarity to bacterial sigma-factors; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation"	XIII	724626	725651	+
YDL044C	MTF2		S000002202	Respiration	Mitochondrial protein that interacts with mitochondrial RNA polymerase; interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing and translation to transcription	IV	373967	375289	-
YMR097C	MTG1	MiTochondrial GTPase	S000004703	Respiration	"Putative GTPase peripheral to the mitochondrial inner membrane; essential for respiratory competence, likely functions in assembly of the large ribosomal subunit, has homologs in plants and animals"	XIII	459424	460527	-
YHR168W	MTG2		S000001211	Respiration	"Putative GTPase; member of the Obg family; peripheral protein of the mitochondrial inner membrane that associates with the large ribosomal subunit; required for mitochondrial translation, possibly via a role in ribosome assembly"	VIII	440377	441933	+
YGR257C	MTM1	Manganese Trafficking factor for Mitochondrial SOD2	S000003489	Respiration	"Mitochondrial protein of the mitochondrial carrier family; high affinity pyridoxal 5'-phosphate (PLP) transporter, important for delivery of the PLP cofactor to mitochondrial enzymes; involved in mitochondrial iron homeostasis"	VII	1006205	1007305	-
YGL236C	MTO1	Mitochondrial Translation Optimization	S000003205	Respiration	Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant	VII	53787	55796	-
YDR493W	MZM1	Mitochondrial Zinc Maintenance	S000002901	Respiration	"Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog"	IV	1436217	1436588	+
YLR382C	NAM2	Nuclear Accommodation of Mitochondria	S000004374	Respiration	"Mitochondrial leucyl-tRNA synthetase; also has direct role in splicing of several mitochondrial group I introns; indirectly required for mitochondrial genome maintenance; human homolog LARS2 can complement yeast null mutant, and is implicated in Perrault syndrome"	XII	882067	884751	-
YDR162C	NBP2	Nap1 Binding Protein	S000002569	Respiration	Protein involved in the HOG (high osmolarity glycerol) pathway; negatively regulates Hog1p by recruitment of phosphatase Ptc1p to the Pbs2p-Hog1p complex; interacts with Bck1p and down regulates the cell wall integrity pathway; found in the nucleus and cytoplasm; contains an SH3 domain and a Ptc1p binding domain (PBM)	IV	780390	781100	-
YML120C	NDI1	NADH Dehydrogenase Internal	S000004589	Respiration	"NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy"	XIII	28266	29807	-
YKL040C	NFU1	NifU-like protein	S000001523	Respiration	"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress; acts along with Bol3 at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to client proteins; Fe-S loaded homodimer at steady state; similar to NifU, a bacterial protein required for Fe/S cluster maturation; ortholog of the human NFU1, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS1)"	XI	361058	361828	-
YDR176W	NGG1		S000002583	Respiration	"Subunit of chromatin modifying histone acetyltransferase complexes; member of the ADA complex, the SAGA complex, and the SLIK complex; transcriptional regulator involved in glucose repression of Gal4p-regulated genes"	IV	814452	816560	+
YMR285C	NGL2		S000004898	Respiration	"Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3'-end formation of 5.8S rRNA at site E; similar to Ngl1p; NGL2 has a paralog, NGL3, that arose from the whole genome duplication"	XIII	840144	841691	-
YDR456W	NHX1	Na+/H+ eXchanger	S000002864	Respiration	"Na+/H+ and K+/H+ exchanger; required for intracellular sequestration of Na+ and K+; located in the vacuole and late endosome compartments; required for osmotolerance to acute hypertonic shock and for vacuolar fusion; ortholog of human NHE9, which is linked to autism"	IV	1367485	1369386	+
YPL174C	NIP100	Nuclear ImPort	S000006095	Respiration	Large subunit of the dynactin complex; dynactin is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)	XVI	220167	222773	-
YDR150W	NUM1	NUclear Migration	S000002557	Respiration	Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex	IV	755628	763874	+
YKL055C	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase	S000001538	Respiration	Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase; may comprise a type II mitochondrial fatty acid synthase along with Mct1p; human homolog CBR4 complements yeast null mutant	XI	335321	336157	-
YKL134C	OCTa1	OCTapeptidyl aminopeptidase	S000001617	Respiration	"Mitochondrial intermediate peptidase; cleaves destabilizing N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis"	XI	189124	191442	-
YDR316W	OMS1	OXA1 Multicopy Suppressor	S000002724	Respiration	Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations	IV	1093763	1095178	+
YLR338W	OPI9		S000004330	Respiration	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF VRP1/YLR337C"	XII	804346	805203	+
YER154W	OXA1		S000000956	Respiration	"Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel, activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals"	V	475020	476228	+
